"Bank Method","Método"
"Bank Status","Situação"
"For BB clients only",".::Exclusivo para correntista BB:"
"Payment auto captured","Pagamento capturado automaticamente"
"undefined bank status %s","situação desconhecida %s"
"undefined bank method %s","Débito Online %s"
"payment not selected yet","pagamento ainda não escolhido"
"Bank Slip","Boleto Bancário"
"Online Debit","Débito em Conta via Internet"
"Installment Plan","BB Crediário Internet"
"You will be redirected to your bank account in a few momments.","Você será redirecionado para o ambiente seguro do banco em alguns instantes."
